date,kWh
2023-06-23T04:00:00Z,0.003
2023-06-23T05:00:00Z,0.19
2023-06-23T06:00:00Z,0.74
2023-06-23T07:00:00Z,2.26
2023-06-23T08:00:00Z,4.55
2023-06-23T09:00:00Z,6.51
2023-06-23T10:00:00Z,7.96
2023-06-23T11:00:00Z,9.84
2023-06-23T12:00:00Z,10.34
2023-06-23T13:00:00Z,7.26
2023-06-23T14:00:00Z,4.92
2023-06-23T15:00:00Z,6.31
2023-06-23T16:00:00Z,4.72
2023-06-23T17:00:00Z,2.45
2023-06-23T18:00:00Z,0.93
2023-06-23T19:00:00Z,0.63
2023-06-23T20:00:00Z,0.19
2023-06-23T21:00:00Z,0.004
2023-06-24T04:00:00Z,0.002
2023-06-24T05:00:00Z,0.11
2023-06-24T06:00:00Z,0.78
2023-06-24T07:00:00Z,2.39
2023-06-24T08:00:00Z,4.86
2023-06-24T09:00:00Z,6.79
2023-06-24T10:00:00Z,4.13
2023-06-24T11:00:00Z,7.09
2023-06-24T12:00:00Z,9.63
2023-06-24T13:00:00Z,10.52
2023-06-24T14:00:00Z,8.32
2023-06-24T15:00:00Z,5.98
2023-06-24T16:00:00Z,0.97
2023-06-24T17:00:00Z,0.91
2023-06-24T18:00:00Z,0.62
2023-06-24T19:00:00Z,0.45
2023-06-24T20:00:00Z,0.12
2023-06-24T21:00:00Z,0.003
2023-06-25T04:00:00Z,0
2023-06-25T05:00:00Z,0.17
2023-06-25T06:00:00Z,1.11
2023-06-25T07:00:00Z,2.86
2023-06-25T08:00:00Z,4.79
2023-06-25T09:00:00Z,6.29
2023-06-25T10:00:00Z,7.34
2023-06-25T11:00:00Z,9.53
2023-06-25T12:00:00Z,5.72
2023-06-25T13:00:00Z,3.92
2023-06-25T14:00:00Z,6.11
2023-06-25T15:00:00Z,6.7
2023-06-25T16:00:00Z,6.54
2023-06-25T17:00:00Z,3.34
2023-06-25T18:00:00Z,1.27
2023-06-25T19:00:00Z,0.48
2023-06-25T20:00:00Z,0.23
2023-06-25T21:00:00Z,0.01
2023-06-26T04:00:00Z,0.002
2023-06-26T05:00:00Z,0.12
2023-06-26T06:00:00Z,0.58
2023-06-26T07:00:00Z,2.16
2023-06-26T08:00:00Z,4.56
2023-06-26T09:00:00Z,6.68
2023-06-26T10:00:00Z,8.17
2023-06-26T11:00:00Z,9.48
2023-06-26T12:00:00Z,10.08
2023-06-26T13:00:00Z,10.36
2023-06-26T14:00:00Z,2.58
2023-06-26T15:00:00Z,3.13
2023-06-26T16:00:00Z,6.35
2023-06-26T17:00:00Z,3.04
2023-06-26T18:00:00Z,1.18
2023-06-26T19:00:00Z,0.53
2023-06-26T20:00:00Z,0.21
2023-06-26T21:00:00Z,0.01
2023-06-27T04:00:00Z,0.004
2023-06-27T05:00:00Z,0.17
2023-06-27T06:00:00Z,0.62
2023-06-27T07:00:00Z,2.18
2023-06-27T08:00:00Z,4.52
2023-06-27T09:00:00Z,6.69
2023-06-27T10:00:00Z,8.41
2023-06-27T11:00:00Z,7.84
2023-06-27T12:00:00Z,5.82
2023-06-27T13:00:00Z,9.81
2023-06-27T14:00:00Z,9.83
2023-06-27T15:00:00Z,7.39
2023-06-27T16:00:00Z,6.83
2023-06-27T17:00:00Z,0.95
2023-06-27T18:00:00Z,0.21
2023-06-27T19:00:00Z,0.28
2023-06-27T20:00:00Z,0.13
2023-06-27T21:00:00Z,0.007
2023-06-28T04:00:00Z,0.002
2023-06-28T05:00:00Z,0.15
2023-06-28T06:00:00Z,0.68
2023-06-28T07:00:00Z,1.53
2023-06-28T08:00:00Z,2.37
2023-06-28T09:00:00Z,7.33
2023-06-28T10:00:00Z,8.52
2023-06-28T11:00:00Z,9.63
2023-06-28T12:00:00Z,10.22
2023-06-28T13:00:00Z,10.42
2023-06-28T14:00:00Z,6.1
2023-06-28T15:00:00Z,4.36
2023-06-28T16:00:00Z,2.2
2023-06-28T17:00:00Z,1.78
2023-06-28T18:00:00Z,1.07
2023-06-28T19:00:00Z,0.75
2023-06-28T20:00:00Z,0.34
2023-06-28T21:00:00Z,0.01
2023-06-29T04:00:00Z,0.004
2023-06-29T05:00:00Z,0.11
2023-06-29T06:00:00Z,0.65
2023-06-29T07:00:00Z,2.17
2023-06-29T08:00:00Z,4.51
2023-06-29T09:00:00Z,6.61
2023-06-29T10:00:00Z,7.33
2023-06-29T11:00:00Z,7.29
2023-06-29T12:00:00Z,8.99
2023-06-29T13:00:00Z,8.6
2023-06-29T14:00:00Z,5.86
2023-06-29T15:00:00Z,2.36
2023-06-29T16:00:00Z,3.43
2023-06-29T17:00:00Z,2.77
2023-06-29T18:00:00Z,0.94
2023-06-29T19:00:00Z,0.78
2023-06-29T20:00:00Z,0.21
2023-06-29T21:00:00Z,0.01
