date,kWh
2023-07-07T04:00:00Z,0.001
2023-07-07T05:00:00Z,0.24
2023-07-07T06:00:00Z,0.76
2023-07-07T07:00:00Z,1.99
2023-07-07T08:00:00Z,4.25
2023-07-07T09:00:00Z,5.78
2023-07-07T10:00:00Z,8.07
2023-07-07T11:00:00Z,9.43
2023-07-07T12:00:00Z,8.95
2023-07-07T13:00:00Z,8.4
2023-07-07T14:00:00Z,4.69
2023-07-07T15:00:00Z,5.09
2023-07-07T16:00:00Z,5.98
2023-07-07T17:00:00Z,3.41
2023-07-07T18:00:00Z,0.9
2023-07-07T19:00:00Z,0.5
2023-07-07T20:00:00Z,0.2
2023-07-07T21:00:00Z,0.006
2023-07-08T04:00:00Z,0.001
2023-07-08T05:00:00Z,0.14
2023-07-08T06:00:00Z,0.62
2023-07-08T07:00:00Z,2.22
2023-07-08T08:00:00Z,4.57
2023-07-08T09:00:00Z,6.07
2023-07-08T10:00:00Z,8.24
2023-07-08T11:00:00Z,9.48
2023-07-08T12:00:00Z,10.1
2023-07-08T13:00:00Z,10.12
2023-07-08T14:00:00Z,9.51
2023-07-08T15:00:00Z,8.32
2023-07-08T16:00:00Z,4.97
2023-07-08T17:00:00Z,2.98
2023-07-08T18:00:00Z,1.38
2023-07-08T19:00:00Z,0.52
2023-07-08T20:00:00Z,0.18
2023-07-08T21:00:00Z,0.004
2023-07-09T04:00:00Z,0.001
2023-07-09T05:00:00Z,0.17
2023-07-09T06:00:00Z,0.61
2023-07-09T07:00:00Z,2.19
2023-07-09T08:00:00Z,4.53
2023-07-09T09:00:00Z,6.65
2023-07-09T10:00:00Z,8.06
2023-07-09T11:00:00Z,2.85
2023-07-09T12:00:00Z,3.49
2023-07-09T13:00:00Z,10.06
2023-07-09T14:00:00Z,8.09
2023-07-09T15:00:00Z,1.76
2023-07-09T16:00:00Z,3.85
2023-07-09T17:00:00Z,1.61
2023-07-09T18:00:00Z,0.9
2023-07-09T19:00:00Z,0.51
2023-07-09T20:00:00Z,0.24
2023-07-09T21:00:00Z,0.003
2023-07-10T04:00:00Z,0.001
2023-07-10T05:00:00Z,0.14
2023-07-10T06:00:00Z,0.52
2023-07-10T07:00:00Z,2.3
2023-07-10T08:00:00Z,4.94
2023-07-10T09:00:00Z,7
2023-07-10T10:00:00Z,6.01
2023-07-10T11:00:00Z,5.63
2023-07-10T12:00:00Z,5.43
2023-07-10T13:00:00Z,5.22
2023-07-10T14:00:00Z,3.28
2023-07-10T15:00:00Z,2.51
2023-07-10T16:00:00Z,2.65
2023-07-10T17:00:00Z,1.7
2023-07-10T18:00:00Z,0.45
2023-07-10T19:00:00Z,0.19
2023-07-10T20:00:00Z,0.04
2023-07-10T21:00:00Z,0
2023-07-11T04:00:00Z,0.0001
2023-07-11T05:00:00Z,0.09
2023-07-11T06:00:00Z,0.42
2023-07-11T07:00:00Z,1.08
2023-07-11T08:00:00Z,1.98
2023-07-11T09:00:00Z,3.27
2023-07-11T10:00:00Z,7.86
2023-07-11T11:00:00Z,7.63
2023-07-11T12:00:00Z,9.56
2023-07-11T13:00:00Z,9.52
2023-07-11T14:00:00Z,8
2023-07-11T15:00:00Z,7.55
2023-07-11T16:00:00Z,5.63
2023-07-11T17:00:00Z,2.95
2023-07-11T18:00:00Z,1.43
2023-07-11T19:00:00Z,0.79
2023-07-11T20:00:00Z,0.24
2023-07-11T21:00:00Z,0.003
2023-07-12T04:00:00Z,0.0006
2023-07-12T05:00:00Z,0.12
2023-07-12T06:00:00Z,0.76
2023-07-12T07:00:00Z,2.33
2023-07-12T08:00:00Z,3.95
2023-07-12T09:00:00Z,3.35
2023-07-12T10:00:00Z,5.49
2023-07-12T11:00:00Z,2.96
2023-07-12T12:00:00Z,5.22
2023-07-12T13:00:00Z,7.37
2023-07-12T14:00:00Z,9.13
2023-07-12T15:00:00Z,4.93
2023-07-12T16:00:00Z,1.71
2023-07-12T17:00:00Z,0.02
2023-07-12T18:00:00Z,0.02
2023-07-12T19:00:00Z,0.02
2023-07-12T20:00:00Z,0.02
2023-07-12T21:00:00Z,0.002
2023-07-13T04:00:00Z,0.0001
2023-07-13T05:00:00Z,0.02
2023-07-13T06:00:00Z,0.01
2023-07-13T07:00:00Z,0.02
2023-07-13T08:00:00Z,3.2
2023-07-13T09:00:00Z,6.68
2023-07-13T10:00:00Z,8.36
2023-07-13T11:00:00Z,9.58
2023-07-13T12:00:00Z,9.98
2023-07-13T13:00:00Z,9.83
2023-07-13T14:00:00Z,9.14
2023-07-13T15:00:00Z,8.05
2023-07-13T16:00:00Z,6.01
2023-07-13T17:00:00Z,3.1
2023-07-13T18:00:00Z,1.22
2023-07-13T19:00:00Z,0.46
2023-07-13T20:00:00Z,0.12
2023-07-13T21:00:00Z,0.002
