date,kWh
2023-04-14T05:00:00Z,0
2023-04-14T06:00:00Z,0.22
2023-04-14T07:00:00Z,1.59
2023-04-14T08:00:00Z,3.86
2023-04-14T09:00:00Z,6.78
2023-04-14T10:00:00Z,8.88
2023-04-14T11:00:00Z,10.28
2023-04-14T12:00:00Z,10.72
2023-04-14T13:00:00Z,10.65
2023-04-14T14:00:00Z,9.22
2023-04-14T15:00:00Z,7.91
2023-04-14T16:00:00Z,3.67
2023-04-14T17:00:00Z,2.42
2023-04-14T18:00:00Z,0.79
2023-04-14T19:00:00Z,0.17
2023-04-15T05:00:00Z,0
2023-04-15T06:00:00Z,0.29
2023-04-15T07:00:00Z,1.19
2023-04-15T08:00:00Z,4.29
2023-04-15T09:00:00Z,6.66
2023-04-15T10:00:00Z,7.51
2023-04-15T11:00:00Z,8.89
2023-04-15T12:00:00Z,10.11
2023-04-15T13:00:00Z,5.72
2023-04-15T14:00:00Z,3.84
2023-04-15T15:00:00Z,2.24
2023-04-15T16:00:00Z,1.35
2023-04-15T17:00:00Z,0.73
2023-04-15T18:00:00Z,0.43
2023-04-15T19:00:00Z,0.14
2023-04-16T05:00:00Z,0
2023-04-16T06:00:00Z,0.27
2023-04-16T07:00:00Z,1.17
2023-04-16T08:00:00Z,2.06
2023-04-16T09:00:00Z,3.56
2023-04-16T10:00:00Z,4.81
2023-04-16T11:00:00Z,2.93
2023-04-16T12:00:00Z,2.67
2023-04-16T13:00:00Z,1.55
2023-04-16T14:00:00Z,0.54
2023-04-16T15:00:00Z,0.25
2023-04-16T16:00:00Z,0.57
2023-04-16T17:00:00Z,0.53
2023-04-16T18:00:00Z,0.71
2023-04-16T19:00:00Z,0.18
2023-04-17T05:00:00Z,0.0008
2023-04-17T06:00:00Z,0.16
2023-04-17T07:00:00Z,1.59
2023-04-17T08:00:00Z,4.44
2023-04-17T09:00:00Z,7.2
2023-04-17T10:00:00Z,9.25
2023-04-17T11:00:00Z,10.59
2023-04-17T12:00:00Z,5.61
2023-04-17T13:00:00Z,10.06
2023-04-17T14:00:00Z,10.19
2023-04-17T15:00:00Z,7.01
2023-04-17T16:00:00Z,2.65
2023-04-17T17:00:00Z,1.73
2023-04-17T18:00:00Z,0.6
2023-04-17T19:00:00Z,0.07
2023-04-18T05:00:00Z,0
2023-04-18T06:00:00Z,0.06
2023-04-18T07:00:00Z,0.34
2023-04-18T08:00:00Z,0.89
2023-04-18T09:00:00Z,2.34
2023-04-18T10:00:00Z,4.38
2023-04-18T11:00:00Z,6.24
2023-04-18T12:00:00Z,8.83
2023-04-18T13:00:00Z,5.16
2023-04-18T14:00:00Z,6.83
2023-04-18T15:00:00Z,3.08
2023-04-18T16:00:00Z,2.26
2023-04-18T17:00:00Z,2
2023-04-18T18:00:00Z,1.03
2023-04-18T19:00:00Z,0.22
2023-04-19T05:00:00Z,0.002
2023-04-19T06:00:00Z,0.19
2023-04-19T07:00:00Z,1.39
2023-04-19T08:00:00Z,3.95
2023-04-19T09:00:00Z,5.64
2023-04-19T10:00:00Z,8.81
2023-04-19T11:00:00Z,10.09
2023-04-19T12:00:00Z,10.48
2023-04-19T13:00:00Z,4.09
2023-04-19T14:00:00Z,6.2
2023-04-19T15:00:00Z,6.85
2023-04-19T16:00:00Z,4.06
2023-04-19T17:00:00Z,2.31
2023-04-19T18:00:00Z,1.06
2023-04-19T19:00:00Z,0.23
2023-04-20T05:00:00Z,0.003
2023-04-20T06:00:00Z,0.36
2023-04-20T07:00:00Z,1.63
2023-04-20T08:00:00Z,4.4
2023-04-20T09:00:00Z,7.11
2023-04-20T10:00:00Z,9.15
2023-04-20T11:00:00Z,10.07
2023-04-20T12:00:00Z,9.48
2023-04-20T13:00:00Z,7.67
2023-04-20T14:00:00Z,6.62
2023-04-20T15:00:00Z,3.46
2023-04-20T16:00:00Z,1.91
2023-04-20T17:00:00Z,0.57
2023-04-20T18:00:00Z,0.21
2023-04-20T19:00:00Z,0.08
