date,kWh
2023-10-13T07:00:00Z,0.01
2023-10-13T08:00:00Z,0.32
2023-10-13T09:00:00Z,0.91
2023-10-13T10:00:00Z,4.47
2023-10-13T11:00:00Z,5.74
2023-10-13T12:00:00Z,5.92
2023-10-13T13:00:00Z,7.45
2023-10-13T14:00:00Z,3.91
2023-10-13T15:00:00Z,4.46
2023-10-13T16:00:00Z,1.34
2023-10-13T17:00:00Z,0.64
2023-10-13T18:00:00Z,0.02
2023-10-14T07:00:00Z,0.04
2023-10-14T08:00:00Z,0.43
2023-10-14T09:00:00Z,0.17
2023-10-14T10:00:00Z,0.72
2023-10-14T11:00:00Z,2.33
2023-10-14T12:00:00Z,5.05
2023-10-14T13:00:00Z,3.08
2023-10-14T14:00:00Z,1.99
2023-10-14T15:00:00Z,1.26
2023-10-14T16:00:00Z,0.38
2023-10-14T17:00:00Z,0.12
2023-10-14T18:00:00Z,0.003
2023-10-15T07:00:00Z,0.15
2023-10-15T08:00:00Z,1.89
2023-10-15T09:00:00Z,4.55
2023-10-15T10:00:00Z,5.49
2023-10-15T11:00:00Z,4.69
2023-10-15T12:00:00Z,2.75
2023-10-15T13:00:00Z,1.97
2023-10-15T14:00:00Z,4.36
2023-10-15T15:00:00Z,2.68
2023-10-15T16:00:00Z,1.21
2023-10-15T17:00:00Z,0.3
2023-10-15T18:00:00Z,0.001
2023-10-16T07:00:00Z,0.009
2023-10-16T08:00:00Z,0.26
2023-10-16T09:00:00Z,1.45
2023-10-16T10:00:00Z,1.78
2023-10-16T11:00:00Z,2.92
2023-10-16T12:00:00Z,2.7
2023-10-16T13:00:00Z,2.14
2023-10-16T14:00:00Z,2.9
2023-10-16T15:00:00Z,1.01
2023-10-16T16:00:00Z,1.2
2023-10-16T17:00:00Z,0.34
2023-10-16T18:00:00Z,0.01
2023-10-17T07:00:00Z,0.09
2023-10-17T08:00:00Z,1.97
2023-10-17T09:00:00Z,4.82
2023-10-17T10:00:00Z,6.96
2023-10-17T11:00:00Z,8.35
2023-10-17T12:00:00Z,8.77
2023-10-17T13:00:00Z,8.25
2023-10-17T14:00:00Z,3.49
2023-10-17T15:00:00Z,0.54
2023-10-17T16:00:00Z,0.5
2023-10-17T17:00:00Z,0.11
2023-10-17T18:00:00Z,0
2023-10-18T07:00:00Z,0.03
2023-10-18T08:00:00Z,0.62
2023-10-18T09:00:00Z,1
2023-10-18T10:00:00Z,3.69
2023-10-18T11:00:00Z,5.26
2023-10-18T12:00:00Z,3.6
2023-10-18T13:00:00Z,4.21
2023-10-18T14:00:00Z,1.58
2023-10-18T15:00:00Z,0.93
2023-10-18T16:00:00Z,0.39
2023-10-18T17:00:00Z,0.11
2023-10-18T18:00:00Z,0.0006
2023-10-19T07:00:00Z,0.04
2023-10-19T08:00:00Z,1.73
2023-10-19T09:00:00Z,4.14
2023-10-19T10:00:00Z,4.18
2023-10-19T11:00:00Z,4.27
2023-10-19T12:00:00Z,6.54
2023-10-19T13:00:00Z,3.49
2023-10-19T14:00:00Z,1.85
2023-10-19T15:00:00Z,1.65
2023-10-19T16:00:00Z,1.11
2023-10-19T17:00:00Z,0.22
2023-10-19T18:00:00Z,0
