date,kWh
2023-11-03T05:00:00Z,0
2023-11-03T06:00:00Z,0
2023-11-03T07:00:00Z,0.002
2023-11-03T08:00:00Z,0.19
2023-11-03T09:00:00Z,1.19
2023-11-03T10:00:00Z,2.47
2023-11-03T11:00:00Z,7.75
2023-11-03T12:00:00Z,7.66
2023-11-03T13:00:00Z,7.4
2023-11-03T14:00:00Z,5.11
2023-11-03T15:00:00Z,3
2023-11-03T16:00:00Z,0.79
2023-11-03T17:00:00Z,0.08
2023-11-04T05:00:00Z,0
2023-11-04T06:00:00Z,0
2023-11-04T07:00:00Z,0
2023-11-04T08:00:00Z,0.02
2023-11-04T09:00:00Z,0.03
2023-11-04T10:00:00Z,0.27
2023-11-04T11:00:00Z,0.44
2023-11-04T12:00:00Z,0.37
2023-11-04T13:00:00Z,0.54
2023-11-04T14:00:00Z,0.96
2023-11-04T15:00:00Z,0.6
2023-11-04T16:00:00Z,0.61
2023-11-04T17:00:00Z,0.1
2023-11-05T05:00:00Z,0.003
2023-11-05T06:00:00Z,0.46
2023-11-05T07:00:00Z,1.04
2023-11-05T08:00:00Z,1.24
2023-11-05T09:00:00Z,2.33
2023-11-05T10:00:00Z,2.09
2023-11-05T11:00:00Z,2.51
2023-11-05T12:00:00Z,1.85
2023-11-05T13:00:00Z,0.79
2023-11-05T14:00:00Z,0.59
2023-11-05T15:00:00Z,0.04
2023-11-05T16:00:00Z,0
2023-11-05T17:00:00Z,0
2023-11-06T05:00:00Z,0
2023-11-06T06:00:00Z,0.1
2023-11-06T07:00:00Z,0.48
2023-11-06T08:00:00Z,0.82
2023-11-06T09:00:00Z,2.02
2023-11-06T10:00:00Z,1.21
2023-11-06T11:00:00Z,1.02
2023-11-06T12:00:00Z,0.87
2023-11-06T13:00:00Z,0.4
2023-11-06T14:00:00Z,0.12
2023-11-06T15:00:00Z,0.004
2023-11-06T16:00:00Z,0
2023-11-06T17:00:00Z,0
2023-11-07T05:00:00Z,0
2023-11-07T06:00:00Z,0.08
2023-11-07T07:00:00Z,0.57
2023-11-07T08:00:00Z,0.65
2023-11-07T09:00:00Z,1.26
2023-11-07T10:00:00Z,3.18
2023-11-07T11:00:00Z,0.92
2023-11-07T12:00:00Z,0.45
2023-11-07T13:00:00Z,0.32
2023-11-07T14:00:00Z,0.21
2023-11-07T15:00:00Z,0.01
2023-11-07T16:00:00Z,0
2023-11-07T17:00:00Z,0
2023-11-08T05:00:00Z,0
2023-11-08T06:00:00Z,0.12
2023-11-08T07:00:00Z,0.61
2023-11-08T08:00:00Z,1.54
2023-11-08T09:00:00Z,2.54
2023-11-08T10:00:00Z,3.98
2023-11-08T11:00:00Z,3.83
2023-11-08T12:00:00Z,2.11
2023-11-08T13:00:00Z,2.71
2023-11-08T14:00:00Z,0.53
2023-11-08T15:00:00Z,0.05
2023-11-08T16:00:00Z,0
2023-11-08T17:00:00Z,0
2023-11-09T05:00:00Z,0
2023-11-09T06:00:00Z,0.34
2023-11-09T07:00:00Z,2.12
2023-11-09T08:00:00Z,4.16
2023-11-09T09:00:00Z,1.93
2023-11-09T10:00:00Z,1.98
2023-11-09T11:00:00Z,2.96
2023-11-09T12:00:00Z,1.43
2023-11-09T13:00:00Z,1.58
2023-11-09T14:00:00Z,0.56
2023-11-09T15:00:00Z,0.03
2023-11-09T16:00:00Z,0
2023-11-09T17:00:00Z,0
