date,kWh
2023-09-08T06:00:00Z,0.04
2023-09-08T07:00:00Z,0.94
2023-09-08T08:00:00Z,3.17
2023-09-08T09:00:00Z,5.72
2023-09-08T10:00:00Z,7.72
2023-09-08T11:00:00Z,9.1
2023-09-08T12:00:00Z,9.67
2023-09-08T13:00:00Z,9.58
2023-09-08T14:00:00Z,8.77
2023-09-08T15:00:00Z,6.47
2023-09-08T16:00:00Z,2.44
2023-09-08T17:00:00Z,1.64
2023-09-08T18:00:00Z,0.47
2023-09-08T19:00:00Z,0.05
2023-09-09T06:00:00Z,0.03
2023-09-09T07:00:00Z,0.92
2023-09-09T08:00:00Z,3.19
2023-09-09T09:00:00Z,5.75
2023-09-09T10:00:00Z,7.76
2023-09-09T11:00:00Z,9.14
2023-09-09T12:00:00Z,9.77
2023-09-09T13:00:00Z,9.62
2023-09-09T14:00:00Z,8.78
2023-09-09T15:00:00Z,6.36
2023-09-09T16:00:00Z,2.32
2023-09-09T17:00:00Z,1.57
2023-09-09T18:00:00Z,0.45
2023-09-09T19:00:00Z,0.04
2023-09-10T06:00:00Z,0.03
2023-09-10T07:00:00Z,0.9
2023-09-10T08:00:00Z,2.9
2023-09-10T09:00:00Z,5.5
2023-09-10T10:00:00Z,7.59
2023-09-10T11:00:00Z,8.93
2023-09-10T12:00:00Z,9.54
2023-09-10T13:00:00Z,9.49
2023-09-10T14:00:00Z,8.64
2023-09-10T15:00:00Z,6.25
2023-09-10T16:00:00Z,2.27
2023-09-10T17:00:00Z,1.74
2023-09-10T18:00:00Z,0.45
2023-09-10T19:00:00Z,0.03
2023-09-11T06:00:00Z,0.008
2023-09-11T07:00:00Z,0.42
2023-09-11T08:00:00Z,1.73
2023-09-11T09:00:00Z,3.22
2023-09-11T10:00:00Z,4.18
2023-09-11T11:00:00Z,3.44
2023-09-11T12:00:00Z,5.08
2023-09-11T13:00:00Z,5.05
2023-09-11T14:00:00Z,4.07
2023-09-11T15:00:00Z,1.19
2023-09-11T16:00:00Z,0.62
2023-09-11T17:00:00Z,1.74
2023-09-11T18:00:00Z,0.48
2023-09-11T19:00:00Z,0.02
2023-09-12T06:00:00Z,0.009
2023-09-12T07:00:00Z,0.9
2023-09-12T08:00:00Z,2.51
2023-09-12T09:00:00Z,5.07
2023-09-12T10:00:00Z,6.51
2023-09-12T11:00:00Z,7.18
2023-09-12T12:00:00Z,8.11
2023-09-12T13:00:00Z,8.7
2023-09-12T14:00:00Z,6.14
2023-09-12T15:00:00Z,1.65
2023-09-12T16:00:00Z,0.75
2023-09-12T17:00:00Z,0.55
2023-09-12T18:00:00Z,0.19
2023-09-12T19:00:00Z,0.007
2023-09-13T06:00:00Z,0.01
2023-09-13T07:00:00Z,0.66
2023-09-13T08:00:00Z,3.05
2023-09-13T09:00:00Z,5.63
2023-09-13T10:00:00Z,7.64
2023-09-13T11:00:00Z,9.14
2023-09-13T12:00:00Z,8.7
2023-09-13T13:00:00Z,9.43
2023-09-13T14:00:00Z,8.54
2023-09-13T15:00:00Z,6.02
2023-09-13T16:00:00Z,2.15
2023-09-13T17:00:00Z,1.76
2023-09-13T18:00:00Z,0.4
2023-09-13T19:00:00Z,0.02
2023-09-14T06:00:00Z,0.009
2023-09-14T07:00:00Z,0.81
2023-09-14T08:00:00Z,3.03
2023-09-14T09:00:00Z,5.6
2023-09-14T10:00:00Z,7.53
2023-09-14T11:00:00Z,8.86
2023-09-14T12:00:00Z,9.47
2023-09-14T13:00:00Z,9.44
2023-09-14T14:00:00Z,8.56
2023-09-14T15:00:00Z,6.01
2023-09-14T16:00:00Z,2.01
2023-09-14T17:00:00Z,1.36
2023-09-14T18:00:00Z,0.35
2023-09-14T19:00:00Z,0.02
