date,kWh
2023-05-26T04:00:00Z,0.002
2023-05-26T05:00:00Z,0.16
2023-05-26T06:00:00Z,0.68
2023-05-26T07:00:00Z,2.46
2023-05-26T08:00:00Z,4.96
2023-05-26T09:00:00Z,7.15
2023-05-26T10:00:00Z,8.84
2023-05-26T11:00:00Z,9.99
2023-05-26T12:00:00Z,10.49
2023-05-26T13:00:00Z,10.42
2023-05-26T14:00:00Z,9.19
2023-05-26T15:00:00Z,8.18
2023-05-26T16:00:00Z,5.67
2023-05-26T17:00:00Z,2.76
2023-05-26T18:00:00Z,1.17
2023-05-26T19:00:00Z,0.47
2023-05-26T20:00:00Z,0.13
2023-05-27T04:00:00Z,0.002
2023-05-27T05:00:00Z,0.19
2023-05-27T06:00:00Z,0.76
2023-05-27T07:00:00Z,1.98
2023-05-27T08:00:00Z,3.02
2023-05-27T09:00:00Z,7.35
2023-05-27T10:00:00Z,7.09
2023-05-27T11:00:00Z,4.61
2023-05-27T12:00:00Z,7.82
2023-05-27T13:00:00Z,10.76
2023-05-27T14:00:00Z,8.18
2023-05-27T15:00:00Z,5.96
2023-05-27T16:00:00Z,7.18
2023-05-27T17:00:00Z,2.5
2023-05-27T18:00:00Z,1.26
2023-05-27T19:00:00Z,0.39
2023-05-27T20:00:00Z,0.13
2023-05-28T04:00:00Z,0.002
2023-05-28T05:00:00Z,0.15
2023-05-28T06:00:00Z,0.68
2023-05-28T07:00:00Z,2.46
2023-05-28T08:00:00Z,4.98
2023-05-28T09:00:00Z,7.14
2023-05-28T10:00:00Z,8.76
2023-05-28T11:00:00Z,9.87
2023-05-28T12:00:00Z,9.57
2023-05-28T13:00:00Z,6.88
2023-05-28T14:00:00Z,5.65
2023-05-28T15:00:00Z,5.42
2023-05-28T16:00:00Z,4.19
2023-05-28T17:00:00Z,2.28
2023-05-28T18:00:00Z,0.91
2023-05-28T19:00:00Z,0.63
2023-05-28T20:00:00Z,0.18
2023-05-29T04:00:00Z,0.002
2023-05-29T05:00:00Z,0.15
2023-05-29T06:00:00Z,0.7
2023-05-29T07:00:00Z,2.52
2023-05-29T08:00:00Z,5.09
2023-05-29T09:00:00Z,7.3
2023-05-29T10:00:00Z,8.98
2023-05-29T11:00:00Z,10.17
2023-05-29T12:00:00Z,10.68
2023-05-29T13:00:00Z,10.61
2023-05-29T14:00:00Z,9.84
2023-05-29T15:00:00Z,8.4
2023-05-29T16:00:00Z,5.77
2023-05-29T17:00:00Z,2.59
2023-05-29T18:00:00Z,0.97
2023-05-29T19:00:00Z,0.44
2023-05-29T20:00:00Z,0.14
2023-05-30T04:00:00Z,0.003
2023-05-30T05:00:00Z,0.15
2023-05-30T06:00:00Z,0.68
2023-05-30T07:00:00Z,2.61
2023-05-30T08:00:00Z,5.27
2023-05-30T09:00:00Z,7.53
2023-05-30T10:00:00Z,9.07
2023-05-30T11:00:00Z,9.51
2023-05-30T12:00:00Z,10.7
2023-05-30T13:00:00Z,10.69
2023-05-30T14:00:00Z,9.5
2023-05-30T15:00:00Z,8.44
2023-05-30T16:00:00Z,5.8
2023-05-30T17:00:00Z,2.56
2023-05-30T18:00:00Z,1
2023-05-30T19:00:00Z,0.43
2023-05-30T20:00:00Z,0.14
2023-05-31T04:00:00Z,0.003
2023-05-31T05:00:00Z,0.16
2023-05-31T06:00:00Z,0.69
2023-05-31T07:00:00Z,2.58
2023-05-31T08:00:00Z,5.16
2023-05-31T09:00:00Z,7.39
2023-05-31T10:00:00Z,9.04
2023-05-31T11:00:00Z,10.23
2023-05-31T12:00:00Z,10.59
2023-05-31T13:00:00Z,10.5
2023-05-31T14:00:00Z,9.71
2023-05-31T15:00:00Z,8.47
2023-05-31T16:00:00Z,5.93
2023-05-31T17:00:00Z,2.64
2023-05-31T18:00:00Z,1.05
2023-05-31T19:00:00Z,0.47
2023-05-31T20:00:00Z,0.13
2023-06-01T04:00:00Z,0.002
2023-06-01T05:00:00Z,0.16
2023-06-01T06:00:00Z,0.91
2023-06-01T07:00:00Z,2.11
2023-06-01T08:00:00Z,5.08
2023-06-01T09:00:00Z,7.26
2023-06-01T10:00:00Z,9
2023-06-01T11:00:00Z,10.13
2023-06-01T12:00:00Z,10.62
2023-06-01T13:00:00Z,10.59
2023-06-01T14:00:00Z,9.71
2023-06-01T15:00:00Z,8.22
2023-06-01T16:00:00Z,5.8
2023-06-01T17:00:00Z,2.61
2023-06-01T18:00:00Z,1.08
2023-06-01T19:00:00Z,0.52
2023-06-01T20:00:00Z,0.14
