date,kWh
2023-02-03T07:00:00Z,0.001
2023-02-03T08:00:00Z,0.07
2023-02-03T09:00:00Z,0.2
2023-02-03T10:00:00Z,0.25
2023-02-03T11:00:00Z,0.28
2023-02-03T12:00:00Z,0.62
2023-02-03T13:00:00Z,0.4
2023-02-03T14:00:00Z,0.47
2023-02-03T15:00:00Z,0.23
2023-02-03T16:00:00Z,0.03
2023-02-03T17:00:00Z,0
2023-02-04T07:00:00Z,0.005
2023-02-04T08:00:00Z,0.12
2023-02-04T09:00:00Z,0.52
2023-02-04T10:00:00Z,1.26
2023-02-04T11:00:00Z,3.23
2023-02-04T12:00:00Z,6.5
2023-02-04T13:00:00Z,2.96
2023-02-04T14:00:00Z,1.19
2023-02-04T15:00:00Z,0.82
2023-02-04T16:00:00Z,0.15
2023-02-04T17:00:00Z,0
2023-02-05T07:00:00Z,0.01
2023-02-05T08:00:00Z,0.37
2023-02-05T09:00:00Z,0.72
2023-02-05T10:00:00Z,1.89
2023-02-05T11:00:00Z,2.38
2023-02-05T12:00:00Z,1.96
2023-02-05T13:00:00Z,1.77
2023-02-05T14:00:00Z,2.6
2023-02-05T15:00:00Z,1.76
2023-02-05T16:00:00Z,0.36
2023-02-05T17:00:00Z,0.002
2023-02-06T07:00:00Z,0.1
2023-02-06T08:00:00Z,0.29
2023-02-06T09:00:00Z,1.48
2023-02-06T10:00:00Z,2.05
2023-02-06T11:00:00Z,2.34
2023-02-06T12:00:00Z,3.17
2023-02-06T13:00:00Z,1.19
2023-02-06T14:00:00Z,0.59
2023-02-06T15:00:00Z,0.29
2023-02-06T16:00:00Z,0.25
2023-02-06T17:00:00Z,0.0009
2023-02-07T07:00:00Z,0.008
2023-02-07T08:00:00Z,0.17
2023-02-07T09:00:00Z,0.5
2023-02-07T10:00:00Z,0.98
2023-02-07T11:00:00Z,1.93
2023-02-07T12:00:00Z,1.16
2023-02-07T13:00:00Z,0.98
2023-02-07T14:00:00Z,1.29
2023-02-07T15:00:00Z,1.13
2023-02-07T16:00:00Z,0.52
2023-02-07T17:00:00Z,0.003
2023-02-08T07:00:00Z,0.26
2023-02-08T08:00:00Z,2.49
2023-02-08T09:00:00Z,5.21
2023-02-08T10:00:00Z,7.28
2023-02-08T11:00:00Z,8.28
2023-02-08T12:00:00Z,8.66
2023-02-08T13:00:00Z,7.52
2023-02-08T14:00:00Z,5.25
2023-02-08T15:00:00Z,1.82
2023-02-08T16:00:00Z,0.27
2023-02-08T17:00:00Z,0.005
2023-02-09T07:00:00Z,0.005
2023-02-09T08:00:00Z,0.07
2023-02-09T09:00:00Z,0.77
2023-02-09T10:00:00Z,1.3
2023-02-09T11:00:00Z,1.5
2023-02-09T12:00:00Z,0.93
2023-02-09T13:00:00Z,1.46
2023-02-09T14:00:00Z,0.62
2023-02-09T15:00:00Z,0.49
2023-02-09T16:00:00Z,0.25
2023-02-09T17:00:00Z,0.007
