date,kWh
2023-01-06T07:00:00Z,0.005
2023-01-06T08:00:00Z,0.45
2023-01-06T09:00:00Z,3.04
2023-01-06T10:00:00Z,5.09
2023-01-06T11:00:00Z,5.34
2023-01-06T12:00:00Z,5.2
2023-01-06T13:00:00Z,4.21
2023-01-06T14:00:00Z,1.61
2023-01-06T15:00:00Z,0.29
2023-01-06T16:00:00Z,0.004
2023-01-07T07:00:00Z,0.002
2023-01-07T08:00:00Z,0.31
2023-01-07T09:00:00Z,1.14
2023-01-07T10:00:00Z,2.04
2023-01-07T11:00:00Z,2.07
2023-01-07T12:00:00Z,1.75
2023-01-07T13:00:00Z,1.39
2023-01-07T14:00:00Z,0.7
2023-01-07T15:00:00Z,0.18
2023-01-07T16:00:00Z,0.005
2023-01-08T07:00:00Z,0.0002
2023-01-08T08:00:00Z,0.02
2023-01-08T09:00:00Z,0.43
2023-01-08T10:00:00Z,1.18
2023-01-08T11:00:00Z,0.84
2023-01-08T12:00:00Z,0.63
2023-01-08T13:00:00Z,0.39
2023-01-08T14:00:00Z,0.21
2023-01-08T15:00:00Z,0.06
2023-01-08T16:00:00Z,0
2023-01-09T07:00:00Z,0.004
2023-01-09T08:00:00Z,0.25
2023-01-09T09:00:00Z,0.87
2023-01-09T10:00:00Z,1.25
2023-01-09T11:00:00Z,0.63
2023-01-09T12:00:00Z,0.69
2023-01-09T13:00:00Z,0.31
2023-01-09T14:00:00Z,0.22
2023-01-09T15:00:00Z,0.08
2023-01-09T16:00:00Z,0.003
2023-01-10T07:00:00Z,0
2023-01-10T08:00:00Z,0.07
2023-01-10T09:00:00Z,0.43
2023-01-10T10:00:00Z,0.99
2023-01-10T11:00:00Z,1.55
2023-01-10T12:00:00Z,1.82
2023-01-10T13:00:00Z,2.92
2023-01-10T14:00:00Z,1.16
2023-01-10T15:00:00Z,0.5
2023-01-10T16:00:00Z,0.04
2023-01-11T07:00:00Z,0.003
2023-01-11T08:00:00Z,0.22
2023-01-11T09:00:00Z,0.65
2023-01-11T10:00:00Z,1.03
2023-01-11T11:00:00Z,1.34
2023-01-11T12:00:00Z,1.42
2023-01-11T13:00:00Z,0.83
2023-01-11T14:00:00Z,0.42
2023-01-11T15:00:00Z,0.13
2023-01-11T16:00:00Z,0.008
2023-01-12T07:00:00Z,0
2023-01-12T08:00:00Z,0.04
2023-01-12T09:00:00Z,0.23
2023-01-12T10:00:00Z,0.82
2023-01-12T11:00:00Z,1.16
2023-01-12T12:00:00Z,1.68
2023-01-12T13:00:00Z,1.46
2023-01-12T14:00:00Z,0.42
2023-01-12T15:00:00Z,0.17
2023-01-12T16:00:00Z,0.002
