date,kWh
2023-05-19T05:00:00Z,0.11
2023-05-19T06:00:00Z,0.71
2023-05-19T07:00:00Z,2.2
2023-05-19T08:00:00Z,4.65
2023-05-19T09:00:00Z,6.9
2023-05-19T10:00:00Z,8.59
2023-05-19T11:00:00Z,9.79
2023-05-19T12:00:00Z,10.24
2023-05-19T13:00:00Z,10.18
2023-05-19T14:00:00Z,9.31
2023-05-19T15:00:00Z,7.75
2023-05-19T16:00:00Z,5.18
2023-05-19T17:00:00Z,2.44
2023-05-19T18:00:00Z,0.85
2023-05-19T19:00:00Z,0.33
2023-05-19T20:00:00Z,0.08
2023-05-20T05:00:00Z,0.13
2023-05-20T06:00:00Z,0.27
2023-05-20T07:00:00Z,0.69
2023-05-20T08:00:00Z,3.69
2023-05-20T09:00:00Z,7.2
2023-05-20T10:00:00Z,2.82
2023-05-20T11:00:00Z,9.39
2023-05-20T12:00:00Z,10.13
2023-05-20T13:00:00Z,9.9
2023-05-20T14:00:00Z,5.66
2023-05-20T15:00:00Z,1.7
2023-05-20T16:00:00Z,4.02
2023-05-20T17:00:00Z,0.77
2023-05-20T18:00:00Z,0.74
2023-05-20T19:00:00Z,0.65
2023-05-20T20:00:00Z,0.16
2023-05-21T05:00:00Z,0.04
2023-05-21T06:00:00Z,0.06
2023-05-21T07:00:00Z,0.54
2023-05-21T08:00:00Z,2.89
2023-05-21T09:00:00Z,6.59
2023-05-21T10:00:00Z,7.95
2023-05-21T11:00:00Z,8.81
2023-05-21T12:00:00Z,7.32
2023-05-21T13:00:00Z,1.97
2023-05-21T14:00:00Z,2.02
2023-05-21T15:00:00Z,0.85
2023-05-21T16:00:00Z,0.89
2023-05-21T17:00:00Z,1.73
2023-05-21T18:00:00Z,1.93
2023-05-21T19:00:00Z,0.67
2023-05-21T20:00:00Z,0.15
2023-05-22T05:00:00Z,0.004
2023-05-22T06:00:00Z,0.35
2023-05-22T07:00:00Z,0.67
2023-05-22T08:00:00Z,0.77
2023-05-22T09:00:00Z,0.78
2023-05-22T10:00:00Z,0.79
2023-05-22T11:00:00Z,0.73
2023-05-22T12:00:00Z,0.78
2023-05-22T13:00:00Z,0.83
2023-05-22T14:00:00Z,0.98
2023-05-22T15:00:00Z,0.82
2023-05-22T16:00:00Z,0.77
2023-05-22T17:00:00Z,0.62
2023-05-22T18:00:00Z,1.11
2023-05-22T19:00:00Z,0.5
2023-05-22T20:00:00Z,0.04
2023-05-23T05:00:00Z,0.01
2023-05-23T06:00:00Z,0.1
2023-05-23T07:00:00Z,0.76
2023-05-23T08:00:00Z,1.68
2023-05-23T09:00:00Z,3.46
2023-05-23T10:00:00Z,2.15
2023-05-23T11:00:00Z,1.6
2023-05-23T12:00:00Z,6.11
2023-05-23T13:00:00Z,8.01
2023-05-23T14:00:00Z,9.89
2023-05-23T15:00:00Z,7.43
2023-05-23T16:00:00Z,5.44
2023-05-23T17:00:00Z,1.48
2023-05-23T18:00:00Z,1.27
2023-05-23T19:00:00Z,0.48
2023-05-23T20:00:00Z,0.02
2023-05-24T05:00:00Z,0.11
2023-05-24T06:00:00Z,0.76
2023-05-24T07:00:00Z,1.51
2023-05-24T08:00:00Z,3.54
2023-05-24T09:00:00Z,6.88
2023-05-24T10:00:00Z,8.13
2023-05-24T11:00:00Z,6.47
2023-05-24T12:00:00Z,5.62
2023-05-24T13:00:00Z,10.29
2023-05-24T14:00:00Z,9.44
2023-05-24T15:00:00Z,8.17
2023-05-24T16:00:00Z,3.02
2023-05-24T17:00:00Z,2.02
2023-05-24T18:00:00Z,0.73
2023-05-24T19:00:00Z,0.23
2023-05-24T20:00:00Z,0.04
2023-05-25T05:00:00Z,0.09
2023-05-25T06:00:00Z,0.58
2023-05-25T07:00:00Z,0.44
2023-05-25T08:00:00Z,1.4
2023-05-25T09:00:00Z,3.07
2023-05-25T10:00:00Z,6.81
2023-05-25T11:00:00Z,10.03
2023-05-25T12:00:00Z,8.96
2023-05-25T13:00:00Z,6.66
2023-05-25T14:00:00Z,3
2023-05-25T15:00:00Z,1.29
2023-05-25T16:00:00Z,3.8
2023-05-25T17:00:00Z,2.91
2023-05-25T18:00:00Z,1.23
2023-05-25T19:00:00Z,0.74
2023-05-25T20:00:00Z,0.1
