date,kWh
2022-12-09T07:00:00Z,0.007
2022-12-09T08:00:00Z,0.39
2022-12-09T09:00:00Z,0.88
2022-12-09T10:00:00Z,0.89
2022-12-09T11:00:00Z,1.17
2022-12-09T12:00:00Z,0.9
2022-12-09T13:00:00Z,0.78
2022-12-09T14:00:00Z,0.25
2022-12-09T15:00:00Z,0.12
2022-12-09T16:00:00Z,0
2022-12-10T07:00:00Z,0.0001
2022-12-10T08:00:00Z,0.02
2022-12-10T09:00:00Z,0.15
2022-12-10T10:00:00Z,0.37
2022-12-10T11:00:00Z,0.41
2022-12-10T12:00:00Z,0.39
2022-12-10T13:00:00Z,0.38
2022-12-10T14:00:00Z,0.25
2022-12-10T15:00:00Z,0.1
2022-12-10T16:00:00Z,0
2022-12-11T07:00:00Z,0.0001
2022-12-11T08:00:00Z,0.05
2022-12-11T09:00:00Z,0.14
2022-12-11T10:00:00Z,0.21
2022-12-11T11:00:00Z,0.6
2022-12-11T12:00:00Z,0.79
2022-12-11T13:00:00Z,0.85
2022-12-11T14:00:00Z,0.53
2022-12-11T15:00:00Z,0.09
2022-12-11T16:00:00Z,0
2022-12-12T07:00:00Z,0.005
2022-12-12T08:00:00Z,0.1
2022-12-12T09:00:00Z,0.39
2022-12-12T10:00:00Z,0.57
2022-12-12T11:00:00Z,0.71
2022-12-12T12:00:00Z,0.68
2022-12-12T13:00:00Z,0.61
2022-12-12T14:00:00Z,0.4
2022-12-12T15:00:00Z,0.11
2022-12-12T16:00:00Z,0
2022-12-13T07:00:00Z,0.003
2022-12-13T08:00:00Z,0.1
2022-12-13T09:00:00Z,0.42
2022-12-13T10:00:00Z,0.57
2022-12-13T11:00:00Z,0.66
2022-12-13T12:00:00Z,0.68
2022-12-13T13:00:00Z,0.47
2022-12-13T14:00:00Z,0.34
2022-12-13T15:00:00Z,0.05
2022-12-13T16:00:00Z,0
2022-12-14T07:00:00Z,0
2022-12-14T08:00:00Z,0.02
2022-12-14T09:00:00Z,0.05
2022-12-14T10:00:00Z,0.34
2022-12-14T11:00:00Z,2.56
2022-12-14T12:00:00Z,4.86
2022-12-14T13:00:00Z,3.72
2022-12-14T14:00:00Z,1.75
2022-12-14T15:00:00Z,0.31
2022-12-14T16:00:00Z,0.003
2022-12-15T07:00:00Z,0.003
2022-12-15T08:00:00Z,0.08
2022-12-15T09:00:00Z,0.81
2022-12-15T10:00:00Z,1.29
2022-12-15T11:00:00Z,1.86
2022-12-15T12:00:00Z,1.65
2022-12-15T13:00:00Z,1.3
2022-12-15T14:00:00Z,0.73
2022-12-15T15:00:00Z,0.3
2022-12-15T16:00:00Z,0.008
