date,kWh
2023-03-17T06:00:00Z,0
2023-03-17T07:00:00Z,0.27
2023-03-17T08:00:00Z,1.93
2023-03-17T09:00:00Z,4.73
2023-03-17T10:00:00Z,7.1
2023-03-17T11:00:00Z,8.83
2023-03-17T12:00:00Z,9.75
2023-03-17T13:00:00Z,9.82
2023-03-17T14:00:00Z,9.04
2023-03-17T15:00:00Z,6.08
2023-03-17T16:00:00Z,2.87
2023-03-17T17:00:00Z,1.41
2023-03-17T18:00:00Z,0.4
2023-03-17T19:00:00Z,0.002
2023-03-18T06:00:00Z,0
2023-03-18T07:00:00Z,0.13
2023-03-18T08:00:00Z,1.23
2023-03-18T09:00:00Z,4.83
2023-03-18T10:00:00Z,6.19
2023-03-18T11:00:00Z,7.78
2023-03-18T12:00:00Z,9.71
2023-03-18T13:00:00Z,8.73
2023-03-18T14:00:00Z,8.75
2023-03-18T15:00:00Z,6.5
2023-03-18T16:00:00Z,2.87
2023-03-18T17:00:00Z,1.25
2023-03-18T18:00:00Z,0.38
2023-03-18T19:00:00Z,0.006
2023-03-19T06:00:00Z,0.0002
2023-03-19T07:00:00Z,0.32
2023-03-19T08:00:00Z,2.61
2023-03-19T09:00:00Z,5.42
2023-03-19T10:00:00Z,7.45
2023-03-19T11:00:00Z,9.11
2023-03-19T12:00:00Z,9.05
2023-03-19T13:00:00Z,9.47
2023-03-19T14:00:00Z,7.82
2023-03-19T15:00:00Z,7.06
2023-03-19T16:00:00Z,3.01
2023-03-19T17:00:00Z,1.37
2023-03-19T18:00:00Z,0.41
2023-03-19T19:00:00Z,0.009
2023-03-20T06:00:00Z,0
2023-03-20T07:00:00Z,0.18
2023-03-20T08:00:00Z,1.13
2023-03-20T09:00:00Z,2.65
2023-03-20T10:00:00Z,3.71
2023-03-20T11:00:00Z,4.33
2023-03-20T12:00:00Z,5.21
2023-03-20T13:00:00Z,5.13
2023-03-20T14:00:00Z,4.48
2023-03-20T15:00:00Z,3.94
2023-03-20T16:00:00Z,2.63
2023-03-20T17:00:00Z,1.53
2023-03-20T18:00:00Z,0.48
2023-03-20T19:00:00Z,0.009
2023-03-21T06:00:00Z,0.002
2023-03-21T07:00:00Z,0.36
2023-03-21T08:00:00Z,2.4
2023-03-21T09:00:00Z,5.16
2023-03-21T10:00:00Z,7.51
2023-03-21T11:00:00Z,9.24
2023-03-21T12:00:00Z,10.2
2023-03-21T13:00:00Z,10.25
2023-03-21T14:00:00Z,9.52
2023-03-21T15:00:00Z,7.5
2023-03-21T16:00:00Z,2.86
2023-03-21T17:00:00Z,1.35
2023-03-21T18:00:00Z,0.41
2023-03-21T19:00:00Z,0.02
2023-03-22T06:00:00Z,0.002
2023-03-22T07:00:00Z,0.42
2023-03-22T08:00:00Z,2.6
2023-03-22T09:00:00Z,5.5
2023-03-22T10:00:00Z,7.91
2023-03-22T11:00:00Z,9.56
2023-03-22T12:00:00Z,10.23
2023-03-22T13:00:00Z,10.26
2023-03-22T14:00:00Z,9.54
2023-03-22T15:00:00Z,7.48
2023-03-22T16:00:00Z,2.84
2023-03-22T17:00:00Z,1.38
2023-03-22T18:00:00Z,0.4
2023-03-22T19:00:00Z,0.02
2023-03-23T06:00:00Z,0.003
2023-03-23T07:00:00Z,0.5
2023-03-23T08:00:00Z,1.4
2023-03-23T09:00:00Z,3.24
2023-03-23T10:00:00Z,2.35
2023-03-23T11:00:00Z,7.78
2023-03-23T12:00:00Z,9.22
2023-03-23T13:00:00Z,7.93
2023-03-23T14:00:00Z,2.8
2023-03-23T15:00:00Z,2.27
2023-03-23T16:00:00Z,1.44
2023-03-23T17:00:00Z,1.94
2023-03-23T18:00:00Z,0.39
2023-03-23T19:00:00Z,0.03
