date,kWh
2023-02-17T06:00:00Z,0
2023-02-17T07:00:00Z,0.16
2023-02-17T08:00:00Z,1.19
2023-02-17T09:00:00Z,3.25
2023-02-17T10:00:00Z,7.6
2023-02-17T11:00:00Z,7.95
2023-02-17T12:00:00Z,7.57
2023-02-17T13:00:00Z,5.17
2023-02-17T14:00:00Z,4.14
2023-02-17T15:00:00Z,2.12
2023-02-17T16:00:00Z,0.38
2023-02-17T17:00:00Z,0.03
2023-02-18T06:00:00Z,0
2023-02-18T07:00:00Z,0.16
2023-02-18T08:00:00Z,0.61
2023-02-18T09:00:00Z,1.58
2023-02-18T10:00:00Z,2.26
2023-02-18T11:00:00Z,3.58
2023-02-18T12:00:00Z,3.53
2023-02-18T13:00:00Z,1.57
2023-02-18T14:00:00Z,1.04
2023-02-18T15:00:00Z,1.01
2023-02-18T16:00:00Z,0.38
2023-02-18T17:00:00Z,0.06
2023-02-19T06:00:00Z,0
2023-02-19T07:00:00Z,0.06
2023-02-19T08:00:00Z,0.44
2023-02-19T09:00:00Z,0.97
2023-02-19T10:00:00Z,1.63
2023-02-19T11:00:00Z,2.73
2023-02-19T12:00:00Z,3.52
2023-02-19T13:00:00Z,2.26
2023-02-19T14:00:00Z,1.47
2023-02-19T15:00:00Z,0.87
2023-02-19T16:00:00Z,0.32
2023-02-19T17:00:00Z,0.01
2023-02-20T06:00:00Z,0
2023-02-20T07:00:00Z,0.13
2023-02-20T08:00:00Z,0.61
2023-02-20T09:00:00Z,1.07
2023-02-20T10:00:00Z,1.09
2023-02-20T11:00:00Z,0.96
2023-02-20T12:00:00Z,0.82
2023-02-20T13:00:00Z,0.8
2023-02-20T14:00:00Z,0.96
2023-02-20T15:00:00Z,0.51
2023-02-20T16:00:00Z,0.58
2023-02-20T17:00:00Z,0.08
2023-02-21T06:00:00Z,0
2023-02-21T07:00:00Z,0.1
2023-02-21T08:00:00Z,0.49
2023-02-21T09:00:00Z,1.04
2023-02-21T10:00:00Z,1.91
2023-02-21T11:00:00Z,3.59
2023-02-21T12:00:00Z,1.88
2023-02-21T13:00:00Z,2.11
2023-02-21T14:00:00Z,2.13
2023-02-21T15:00:00Z,1.45
2023-02-21T16:00:00Z,0.29
2023-02-21T17:00:00Z,0.02
2023-02-22T06:00:00Z,0
2023-02-22T07:00:00Z,0.08
2023-02-22T08:00:00Z,0.33
2023-02-22T09:00:00Z,1.89
2023-02-22T10:00:00Z,2.73
2023-02-22T11:00:00Z,3.06
2023-02-22T12:00:00Z,3.04
2023-02-22T13:00:00Z,2.88
2023-02-22T14:00:00Z,1.45
2023-02-22T15:00:00Z,0.79
2023-02-22T16:00:00Z,0.52
2023-02-22T17:00:00Z,0.06
2023-02-23T06:00:00Z,0.003
2023-02-23T07:00:00Z,0.47
2023-02-23T08:00:00Z,2.92
2023-02-23T09:00:00Z,5.86
2023-02-23T10:00:00Z,4.24
2023-02-23T11:00:00Z,4.4
2023-02-23T12:00:00Z,6.63
2023-02-23T13:00:00Z,4.26
2023-02-23T14:00:00Z,3.55
2023-02-23T15:00:00Z,1.34
2023-02-23T16:00:00Z,0.59
2023-02-23T17:00:00Z,0.08
