Date,Time,kWh delivered,kWh received,
18/07/2022,7 p.m.,0.324,0.0,
18/07/2022,8 p.m.,0.81,0.0,
18/07/2022,9 p.m.,0.661,0.0,
18/07/2022,10 p.m.,1.025,0.0,
18/07/2022,11 p.m.,0.493,0.0,
19/07/2022,12 a.m.,0.487,0.0,
19/07/2022,1 a.m.,0.521,0.0,
19/07/2022,2 a.m.,0.492,0.0,
19/07/2022,3 a.m.,0.508,0.0,
19/07/2022,4 a.m.,0.521,0.0,
19/07/2022,5 a.m.,0.437,0.0,
19/07/2022,6 a.m.,0.182,0.039,
19/07/2022,7 a.m.,0.0,1.563,
19/07/2022,8 a.m.,0.0,3.69,
19/07/2022,9 a.m.,0.0,6.322,
19/07/2022,10 a.m.,0.0,7.793,
19/07/2022,11 a.m.,0.0,9.614,
19/07/2022,12 p.m.,0.0,9.415,
19/07/2022,1 p.m.,0.0,9.954,
19/07/2022,2 p.m.,0.0,8.849,
19/07/2022,3 p.m.,0.0,7.534,
19/07/2022,4 p.m.,0.0,4.523,
19/07/2022,5 p.m.,0.096,1.857,
19/07/2022,6 p.m.,0.56,0.363,
19/07/2022,7 p.m.,0.225,0.0,
19/07/2022,8 p.m.,0.964,0.0,
19/07/2022,9 p.m.,0.814,0.0,
19/07/2022,10 p.m.,0.698,0.0,
19/07/2022,11 p.m.,0.922,0.0,
20/07/2022,12 a.m.,0.5,0.0,
20/07/2022,1 a.m.,0.485,0.0,
20/07/2022,2 a.m.,0.488,0.0,
20/07/2022,3 a.m.,0.524,0.0,
20/07/2022,4 a.m.,1.465,0.0,
20/07/2022,5 a.m.,0.533,0.0,
20/07/2022,6 a.m.,0.177,0.038,
20/07/2022,7 a.m.,0.0,1.419,
20/07/2022,8 a.m.,0.0,4.131,
20/07/2022,9 a.m.,0.0,6.153,
20/07/2022,10 a.m.,0.0,7.931,
20/07/2022,11 a.m.,0.0,8.444,
20/07/2022,12 p.m.,0.0,9.792,
20/07/2022,1 p.m.,0.0,9.109,
20/07/2022,2 p.m.,0.0,8.554,
20/07/2022,3 p.m.,0.0,7.371,
20/07/2022,4 p.m.,0.0,4.802,
20/07/2022,5 p.m.,0.675,0.239,
20/07/2022,6 p.m.,2.565,0.0,
20/07/2022,7 p.m.,5.313,0.0,
20/07/2022,8 p.m.,1.919,0.0,
20/07/2022,9 p.m.,5.0,0.0,
20/07/2022,10 p.m.,1.066,0.0,
20/07/2022,11 p.m.,1.661,0.0,
21/07/2022,12 a.m.,0.556,0.0,
21/07/2022,1 a.m.,0.512,0.0,
21/07/2022,2 a.m.,0.497,0.0,
21/07/2022,3 a.m.,0.517,0.0,
21/07/2022,4 a.m.,0.532,0.0,
21/07/2022,5 a.m.,0.629,0.0,
21/07/2022,6 a.m.,0.784,0.037,
21/07/2022,7 a.m.,0.028,1.195,
21/07/2022,8 a.m.,0.0,3.464,
21/07/2022,9 a.m.,0.0,4.014,
21/07/2022,10 a.m.,0.0,7.331,
21/07/2022,11 a.m.,0.474,3.681,
21/07/2022,12 p.m.,0.004,5.927,
21/07/2022,1 p.m.,0.036,6.135,
21/07/2022,2 p.m.,1.121,3.832,
21/07/2022,3 p.m.,0.258,3.223,
21/07/2022,4 p.m.,0.0,4.697,
