Date,Time,kWh delivered,kWh received,
05/09/2022,4 p.m.,1.785,0.478,
05/09/2022,5 p.m.,0.091,0.532,
05/09/2022,6 p.m.,1.128,0.03,
05/09/2022,7 p.m.,2.45,0.0,
05/09/2022,8 p.m.,1.252,0.0,
05/09/2022,9 p.m.,1.151,0.0,
05/09/2022,10 p.m.,0.589,0.0,
05/09/2022,11 p.m.,0.562,0.0,
06/09/2022,12 a.m.,0.52,0.0,
06/09/2022,1 a.m.,0.555,0.0,
06/09/2022,2 a.m.,0.524,0.0,
06/09/2022,3 a.m.,0.509,0.0,
06/09/2022,4 a.m.,0.544,0.0,
06/09/2022,5 a.m.,1.136,0.0,
06/09/2022,6 a.m.,0.736,0.0,
06/09/2022,7 a.m.,0.44,0.34,
06/09/2022,8 a.m.,0.0,2.704,
06/09/2022,9 a.m.,0.0,5.059,
06/09/2022,10 a.m.,0.0,6.622,
06/09/2022,11 a.m.,0.0,8.413,
06/09/2022,12 p.m.,0.0,8.924,
06/09/2022,1 p.m.,0.0,8.924,
06/09/2022,2 p.m.,0.0,8.036,
06/09/2022,3 p.m.,0.0,5.282,
06/09/2022,4 p.m.,0.0,1.906,
06/09/2022,5 p.m.,1.039,0.598,
06/09/2022,6 p.m.,0.45,0.058,
06/09/2022,7 p.m.,1.431,0.0,
06/09/2022,8 p.m.,1.433,0.0,
06/09/2022,9 p.m.,0.974,0.0,
06/09/2022,10 p.m.,0.736,0.0,
06/09/2022,11 p.m.,0.563,0.0,
07/09/2022,12 a.m.,0.616,0.0,
07/09/2022,1 a.m.,0.585,0.0,
07/09/2022,2 a.m.,0.592,0.0,
07/09/2022,3 a.m.,0.546,0.0,
07/09/2022,4 a.m.,0.538,0.0,
07/09/2022,5 a.m.,0.785,0.0,
07/09/2022,6 a.m.,0.772,0.0,
07/09/2022,7 a.m.,0.808,0.073,
07/09/2022,8 a.m.,0.006,1.641,
07/09/2022,9 a.m.,0.408,1.267,
07/09/2022,10 a.m.,0.0,3.245,
07/09/2022,11 a.m.,0.0,6.552,
07/09/2022,12 p.m.,0.0,9.592,
07/09/2022,1 p.m.,0.0,9.461,
07/09/2022,2 p.m.,0.0,8.348,
07/09/2022,3 p.m.,0.0,6.089,
07/09/2022,4 p.m.,0.0,1.861,
07/09/2022,5 p.m.,0.001,0.871,
07/09/2022,6 p.m.,0.308,0.006,
07/09/2022,7 p.m.,0.804,0.0,
07/09/2022,8 p.m.,1.503,0.0,
07/09/2022,9 p.m.,0.746,0.0,
07/09/2022,10 p.m.,0.644,0.0,
07/09/2022,11 p.m.,0.962,0.0,
08/09/2022,12 a.m.,0.548,0.0,
08/09/2022,1 a.m.,0.536,0.0,
08/09/2022,2 a.m.,0.477,0.0,
08/09/2022,3 a.m.,0.548,0.0,
08/09/2022,4 a.m.,0.527,0.0,
08/09/2022,5 a.m.,0.734,0.0,
08/09/2022,6 a.m.,0.623,0.0,
08/09/2022,7 a.m.,0.679,0.318,
08/09/2022,8 a.m.,0.009,2.447,
08/09/2022,9 a.m.,0.016,3.677,
08/09/2022,10 a.m.,0.0,6.713,
08/09/2022,11 a.m.,0.0,4.225,
08/09/2022,12 p.m.,0.0,7.28,
08/09/2022,1 p.m.,0.0,8.661,
08/09/2022,2 p.m.,0.0,6.611,
08/09/2022,3 p.m.,0.836,1.094,
08/09/2022,4 p.m.,0.015,1.693,
08/09/2022,5 p.m.,0.0,0.932,
08/09/2022,6 p.m.,0.687,0.032,
08/09/2022,7 p.m.,3.888,0.0,
08/09/2022,8 p.m.,1.021,0.0,
08/09/2022,9 p.m.,1.182,0.0,
08/09/2022,10 p.m.,0.658,0.0,
08/09/2022,11 p.m.,0.611,0.0,
09/09/2022,12 a.m.,0.555,0.0,
09/09/2022,1 a.m.,0.55,0.0,
09/09/2022,2 a.m.,0.998,0.0,
09/09/2022,3 a.m.,0.538,0.0,
09/09/2022,4 a.m.,0.533,0.0,
09/09/2022,5 a.m.,0.827,0.0,
09/09/2022,6 a.m.,0.7,0.0,
09/09/2022,7 a.m.,0.743,0.213,
09/09/2022,8 a.m.,0.002,2.75,
09/09/2022,9 a.m.,0.0,5.539,
09/09/2022,10 a.m.,0.0,7.531,
09/09/2022,11 a.m.,0.0,8.796,
09/09/2022,12 p.m.,0.0,9.139,
09/09/2022,1 p.m.,0.0,7.774,
09/09/2022,2 p.m.,0.0,8.236,
09/09/2022,3 p.m.,0.0,4.37,
09/09/2022,4 p.m.,0.362,1.25,
09/09/2022,5 p.m.,0.441,0.779,
09/09/2022,6 p.m.,1.675,0.0,
09/09/2022,7 p.m.,0.989,0.0,
09/09/2022,8 p.m.,1.222,0.0,
09/09/2022,9 p.m.,1.21,0.0,
09/09/2022,10 p.m.,0.687,0.0,
09/09/2022,11 p.m.,0.975,0.0,
10/09/2022,12 a.m.,0.584,0.0,
10/09/2022,1 a.m.,0.601,0.0,
10/09/2022,2 a.m.,0.558,0.0,
10/09/2022,3 a.m.,0.585,0.0,
10/09/2022,4 a.m.,0.6,0.0,
10/09/2022,5 a.m.,0.949,0.0,
10/09/2022,6 a.m.,0.715,0.0,
10/09/2022,7 a.m.,0.166,0.38,
10/09/2022,8 a.m.,0.0,2.659,
10/09/2022,9 a.m.,0.0,5.3,
10/09/2022,10 a.m.,0.0,7.137,
10/09/2022,11 a.m.,0.0,8.253,
10/09/2022,12 p.m.,0.0,9.249,
10/09/2022,1 p.m.,0.0,8.74,
10/09/2022,2 p.m.,0.0,6.623,
10/09/2022,3 p.m.,0.0,5.526,
10/09/2022,4 p.m.,1.647,0.789,
10/09/2022,5 p.m.,0.122,0.377,
10/09/2022,6 p.m.,0.479,0.0,
10/09/2022,7 p.m.,0.703,0.0,
10/09/2022,8 p.m.,2.625,0.0,
10/09/2022,9 p.m.,4.048,0.0,
10/09/2022,10 p.m.,2.175,0.0,
10/09/2022,11 p.m.,0.703,0.0,
11/09/2022,12 a.m.,1.079,0.0,
11/09/2022,1 a.m.,0.586,0.0,
11/09/2022,2 a.m.,0.547,0.0,
11/09/2022,3 a.m.,0.88,0.0,
11/09/2022,4 a.m.,0.535,0.0,
11/09/2022,5 a.m.,0.801,0.0,
11/09/2022,6 a.m.,0.588,0.0,
11/09/2022,7 a.m.,0.269,0.157,
11/09/2022,8 a.m.,0.047,0.648,
11/09/2022,9 a.m.,1.215,0.357,
11/09/2022,10 a.m.,1.259,0.671,
11/09/2022,11 a.m.,1.529,0.452,
11/09/2022,12 p.m.,0.029,1.366,
11/09/2022,1 p.m.,0.742,2.831,
11/09/2022,2 p.m.,0.0,2.833,
11/09/2022,3 p.m.,0.027,2.809,
11/09/2022,4 p.m.,0.0,1.406,
11/09/2022,5 p.m.,0.331,0.591,
11/09/2022,6 p.m.,0.443,0.023,
11/09/2022,7 p.m.,1.213,0.0,
11/09/2022,8 p.m.,0.747,0.0,
11/09/2022,9 p.m.,0.782,0.0,
11/09/2022,10 p.m.,1.495,0.0,
11/09/2022,11 p.m.,0.666,0.0,
12/09/2022,12 a.m.,0.595,0.0,
12/09/2022,1 a.m.,0.639,0.0,
12/09/2022,2 a.m.,0.598,0.0,
12/09/2022,3 a.m.,0.554,0.0,
12/09/2022,4 a.m.,0.621,0.0,
12/09/2022,5 a.m.,0.835,0.0,
12/09/2022,6 a.m.,0.729,0.0,
12/09/2022,7 a.m.,1.256,0.0,
12/09/2022,8 a.m.,0.873,0.0,
12/09/2022,9 a.m.,0.061,0.327,
12/09/2022,10 a.m.,0.042,0.203,
12/09/2022,11 a.m.,0.005,0.207,
12/09/2022,12 p.m.,0.297,0.066,
12/09/2022,1 p.m.,0.277,0.146,
12/09/2022,2 p.m.,0.127,0.536,
12/09/2022,3 p.m.,0.04,0.598,
12/09/2022,4 p.m.,0.041,0.334,
12/09/2022,5 p.m.,0.564,0.037,
12/09/2022,6 p.m.,0.731,0.0,
12/09/2022,7 p.m.,0.931,0.0,
12/09/2022,8 p.m.,0.787,0.0,
12/09/2022,9 p.m.,1.379,0.0,
12/09/2022,10 p.m.,0.74,0.0,
12/09/2022,11 p.m.,0.617,0.0,
13/09/2022,12 a.m.,0.567,0.0,
13/09/2022,1 a.m.,0.532,0.0,
13/09/2022,2 a.m.,0.571,0.0,
13/09/2022,3 a.m.,0.539,0.0,
13/09/2022,4 a.m.,0.73,0.0,
13/09/2022,5 a.m.,0.84,0.0,
13/09/2022,6 a.m.,0.662,0.0,
13/09/2022,7 a.m.,0.84,0.004,
13/09/2022,8 a.m.,0.301,0.426,
13/09/2022,9 a.m.,0.126,1.107,
13/09/2022,10 a.m.,0.0,1.987,
13/09/2022,11 a.m.,0.0,5.018,
13/09/2022,12 p.m.,0.0,6.2,
13/09/2022,1 p.m.,0.0,5.952,
13/09/2022,2 p.m.,0.0,6.427,
13/09/2022,3 p.m.,0.781,3.149,
13/09/2022,4 p.m.,0.584,0.525,
13/09/2022,5 p.m.,2.044,0.199,
13/09/2022,6 p.m.,1.497,0.0,
13/09/2022,7 p.m.,0.803,0.0,
13/09/2022,8 p.m.,0.73,0.0,
13/09/2022,9 p.m.,0.78,0.0,
13/09/2022,10 p.m.,0.704,0.0,
13/09/2022,11 p.m.,1.606,0.0,
14/09/2022,12 a.m.,0.626,0.0,
14/09/2022,1 a.m.,0.643,0.0,
14/09/2022,2 a.m.,0.766,0.0,
14/09/2022,3 a.m.,0.894,0.0,
14/09/2022,4 a.m.,0.584,0.0,
14/09/2022,5 a.m.,0.905,0.0,
14/09/2022,6 a.m.,0.984,0.0,
14/09/2022,7 a.m.,0.871,0.0,
14/09/2022,8 a.m.,0.888,0.0,
14/09/2022,9 a.m.,1.008,0.432,
14/09/2022,10 a.m.,0.0,2.914,
14/09/2022,11 a.m.,0.0,1.88,
14/09/2022,12 p.m.,0.0,1.78,
14/09/2022,1 p.m.,0.052,0.912,
14/09/2022,2 p.m.,0.052,2.945,
14/09/2022,3 p.m.,0.0,2.336,
14/09/2022,4 p.m.,0.0,1.594,
14/09/2022,5 p.m.,0.458,0.594,
14/09/2022,6 p.m.,1.502,0.0,
14/09/2022,7 p.m.,1.038,0.0,
14/09/2022,8 p.m.,1.55,0.0,
14/09/2022,9 p.m.,0.843,0.0,
14/09/2022,10 p.m.,1.088,0.0,
14/09/2022,11 p.m.,1.003,0.0,
15/09/2022,12 a.m.,0.71,0.0,
15/09/2022,1 a.m.,0.603,0.0,
15/09/2022,2 a.m.,0.546,0.0,
15/09/2022,3 a.m.,0.659,0.0,
15/09/2022,4 a.m.,0.591,0.0,
15/09/2022,5 a.m.,0.844,0.0,
15/09/2022,6 a.m.,0.689,0.0,
15/09/2022,7 a.m.,0.663,0.137,
15/09/2022,8 a.m.,0.015,1.597,
15/09/2022,9 a.m.,0.036,3.326,
15/09/2022,10 a.m.,0.0,3.281,
15/09/2022,11 a.m.,0.0,6.281,
15/09/2022,12 p.m.,0.0,6.34,
15/09/2022,1 p.m.,0.003,5.314,
15/09/2022,2 p.m.,0.0,6.894,
15/09/2022,3 p.m.,0.0,4.567,
15/09/2022,4 p.m.,0.0,1.268,
15/09/2022,5 p.m.,0.097,0.204,
15/09/2022,6 p.m.,0.887,0.003,
15/09/2022,7 p.m.,3.13,0.0,
15/09/2022,8 p.m.,1.455,0.0,
15/09/2022,9 p.m.,1.011,0.0,
15/09/2022,10 p.m.,1.817,0.0,
15/09/2022,11 p.m.,1.403,0.0,
16/09/2022,12 a.m.,0.866,0.0,
16/09/2022,1 a.m.,0.651,0.0,
16/09/2022,2 a.m.,0.752,0.0,
16/09/2022,3 a.m.,0.628,0.0,
16/09/2022,4 a.m.,1.103,0.0,
16/09/2022,5 a.m.,0.858,0.0,
16/09/2022,6 a.m.,0.768,0.0,
16/09/2022,7 a.m.,2.266,0.002,
16/09/2022,8 a.m.,1.166,0.087,
16/09/2022,9 a.m.,0.83,0.546,
16/09/2022,10 a.m.,0.0,1.26,
16/09/2022,11 a.m.,0.0,3.155,
16/09/2022,12 p.m.,0.016,2.788,
16/09/2022,1 p.m.,0.223,0.076,
16/09/2022,2 p.m.,0.265,5.761,
16/09/2022,3 p.m.,0.913,1.998,
16/09/2022,4 p.m.,0.344,0.361,
16/09/2022,5 p.m.,0.049,0.58,
16/09/2022,6 p.m.,1.52,0.037,
16/09/2022,7 p.m.,1.213,0.0,
16/09/2022,8 p.m.,1.216,0.0,
16/09/2022,9 p.m.,1.115,0.0,
16/09/2022,10 p.m.,0.742,0.0,
16/09/2022,11 p.m.,0.628,0.0,
17/09/2022,12 a.m.,0.964,0.0,
17/09/2022,1 a.m.,0.564,0.0,
17/09/2022,2 a.m.,0.53,0.0,
17/09/2022,3 a.m.,0.548,0.0,
17/09/2022,4 a.m.,0.56,0.0,
17/09/2022,5 a.m.,0.789,0.0,
17/09/2022,6 a.m.,0.613,0.0,
17/09/2022,7 a.m.,0.214,0.08,
17/09/2022,8 a.m.,0.048,0.86,
17/09/2022,9 a.m.,0.05,2.375,
17/09/2022,10 a.m.,0.0,4.646,
17/09/2022,11 a.m.,0.139,3.862,
17/09/2022,12 p.m.,0.013,6.519,
17/09/2022,1 p.m.,0.0,7.869,
17/09/2022,2 p.m.,0.0,6.69,
17/09/2022,3 p.m.,0.0,5.059,
17/09/2022,4 p.m.,0.032,1.646,
17/09/2022,5 p.m.,0.962,0.429,
17/09/2022,6 p.m.,1.886,0.004,
17/09/2022,7 p.m.,1.284,0.0,
17/09/2022,8 p.m.,1.959,0.0,
17/09/2022,9 p.m.,0.766,0.0,
17/09/2022,10 p.m.,0.77,0.0,
17/09/2022,11 p.m.,0.666,0.0,
18/09/2022,12 a.m.,0.638,0.0,
18/09/2022,1 a.m.,0.631,0.0,
18/09/2022,2 a.m.,0.962,0.0,
18/09/2022,3 a.m.,0.607,0.0,
18/09/2022,4 a.m.,0.589,0.0,
18/09/2022,5 a.m.,0.875,0.0,
18/09/2022,6 a.m.,0.687,0.0,
18/09/2022,7 a.m.,0.816,0.002,
18/09/2022,8 a.m.,1.826,0.456,
18/09/2022,9 a.m.,0.65,0.74,
18/09/2022,10 a.m.,0.272,1.14,
18/09/2022,11 a.m.,0.226,4.769,
18/09/2022,12 p.m.,0.0,3.002,
18/09/2022,1 p.m.,0.622,1.839,
18/09/2022,2 p.m.,0.49,2.613,
18/09/2022,3 p.m.,0.004,4.102,
18/09/2022,4 p.m.,0.217,1.126,
18/09/2022,5 p.m.,0.002,0.451,
18/09/2022,6 p.m.,1.081,0.0,
18/09/2022,7 p.m.,1.687,0.0,
18/09/2022,8 p.m.,0.956,0.0,
18/09/2022,9 p.m.,0.733,0.0,
18/09/2022,10 p.m.,0.666,0.0,
18/09/2022,11 p.m.,0.534,0.0,
19/09/2022,12 a.m.,0.896,0.0,
19/09/2022,1 a.m.,0.482,0.0,
19/09/2022,2 a.m.,0.525,0.0,
19/09/2022,3 a.m.,0.5,0.0,
19/09/2022,4 a.m.,0.488,0.0,
19/09/2022,5 a.m.,0.813,0.0,
19/09/2022,6 a.m.,0.606,0.0,
19/09/2022,7 a.m.,2.87,0.0,
19/09/2022,8 a.m.,0.75,0.528,
19/09/2022,9 a.m.,0.105,0.562,
19/09/2022,10 a.m.,0.021,2.0,
19/09/2022,11 a.m.,1.558,0.641,
19/09/2022,12 p.m.,0.008,5.346,
19/09/2022,1 p.m.,0.008,5.761,
19/09/2022,2 p.m.,0.143,6.955,
19/09/2022,3 p.m.,0.0,5.732,
