Date,Time,kWh delivered,kWh received
22/06/2022,3 a.m.,0.627,
22/06/2022,4 a.m.,0.716,
22/06/2022,5 a.m.,0.574,
22/06/2022,6 a.m.,0.549,
22/06/2022,7 a.m.,0.952,
22/06/2022,8 a.m.,0.661,
22/06/2022,9 a.m.,0.906,
22/06/2022,10 a.m.,1.449,
22/06/2022,11 a.m.,0.956,
22/06/2022,12 p.m.,0.764,
22/06/2022,1 p.m.,0.735,
22/06/2022,2 p.m.,1.196,
22/06/2022,3 p.m.,2.434,
22/06/2022,4 p.m.,0.957,
22/06/2022,5 p.m.,0.758,
22/06/2022,6 p.m.,2.971,
22/06/2022,7 p.m.,2.149,
22/06/2022,8 p.m.,0.755,
22/06/2022,9 p.m.,0.684,
22/06/2022,10 p.m.,1.005,
22/06/2022,11 p.m.,0.925,
23/06/2022,12 a.m.,0.475,
23/06/2022,1 a.m.,0.504,
23/06/2022,2 a.m.,0.459,
23/06/2022,3 a.m.,0.458,
23/06/2022,4 a.m.,0.478,
23/06/2022,5 a.m.,0.638,
23/06/2022,6 a.m.,0.519,
23/06/2022,7 a.m.,1.01,
23/06/2022,8 a.m.,0.734,
23/06/2022,9 a.m.,0.766,
23/06/2022,10 a.m.,0.672,
23/06/2022,11 a.m.,0.639,
23/06/2022,12 p.m.,0.765,
23/06/2022,1 p.m.,0.712,
23/06/2022,2 p.m.,0.75,
23/06/2022,3 p.m.,0.746,
23/06/2022,4 p.m.,0.698,
23/06/2022,5 p.m.,1.457,
23/06/2022,6 p.m.,3.65,
23/06/2022,7 p.m.,2.62,
23/06/2022,8 p.m.,0.71,
23/06/2022,9 p.m.,0.59,
23/06/2022,10 p.m.,0.55,
23/06/2022,11 p.m.,0.479,
24/06/2022,12 a.m.,0.433,
24/06/2022,1 a.m.,0.461,
24/06/2022,2 a.m.,0.475,
24/06/2022,3 a.m.,0.437,
24/06/2022,4 a.m.,0.43,
24/06/2022,5 a.m.,0.653,
24/06/2022,6 a.m.,0.519,
24/06/2022,7 a.m.,1.662,
24/06/2022,8 a.m.,0.762,
24/06/2022,9 a.m.,0,
24/06/2022,10 a.m.,0,
24/06/2022,11 a.m.,0,
24/06/2022,12 p.m.,0,
24/06/2022,1 p.m.,0.039,
24/06/2022,2 p.m.,0.061,
24/06/2022,3 p.m.,0.98,
24/06/2022,4 p.m.,0.737,
24/06/2022,5 p.m.,0.741,
24/06/2022,6 p.m.,0.652,
24/06/2022,7 p.m.,3.079,
24/06/2022,8 p.m.,0.687,
24/06/2022,9 p.m.,0.652,
24/06/2022,10 p.m.,2.001,
24/06/2022,11 p.m.,0.526,
25/06/2022,12 a.m.,0.497,
25/06/2022,1 a.m.,0.461,
25/06/2022,2 a.m.,0.503,
25/06/2022,3 a.m.,0.503,
25/06/2022,4 a.m.,0.471,
25/06/2022,5 a.m.,0.663,
25/06/2022,6 a.m.,0.687,
25/06/2022,7 a.m.,1.758,
25/06/2022,8 a.m.,2.864,
25/06/2022,9 a.m.,0.708,
25/06/2022,10 a.m.,0.713,
25/06/2022,11 a.m.,2.229,
25/06/2022,12 p.m.,0.817,
25/06/2022,1 p.m.,1.283,
25/06/2022,2 p.m.,0.827,
25/06/2022,3 p.m.,0.806,
25/06/2022,4 p.m.,0.83,
25/06/2022,5 p.m.,0.73,
25/06/2022,6 p.m.,0.832,
25/06/2022,7 p.m.,2.151,
25/06/2022,8 p.m.,2.778,
