date,kWh
2022-07-15T05:00:00Z,0.08
2022-07-15T06:00:00Z,0.45
2022-07-15T07:00:00Z,2.15
2022-07-15T08:00:00Z,4.69
2022-07-15T09:00:00Z,6.56
2022-07-15T10:00:00Z,8.21
2022-07-15T11:00:00Z,9.79
2022-07-15T12:00:00Z,10.32
2022-07-15T13:00:00Z,7.42
2022-07-15T14:00:00Z,6.61
2022-07-15T15:00:00Z,6.24
2022-07-15T16:00:00Z,6.88
2022-07-15T17:00:00Z,2.2
2022-07-15T18:00:00Z,1.21
2022-07-15T19:00:00Z,0.6
2022-07-15T20:00:00Z,0.16
2022-07-15T21:00:00Z,0
2022-07-16T05:00:00Z,0.08
2022-07-16T06:00:00Z,0.52
2022-07-16T07:00:00Z,2.09
2022-07-16T08:00:00Z,4.59
2022-07-16T09:00:00Z,6.84
2022-07-16T10:00:00Z,8.51
2022-07-16T11:00:00Z,9.78
2022-07-16T12:00:00Z,8.24
2022-07-16T13:00:00Z,7.25
2022-07-16T14:00:00Z,8.26
2022-07-16T15:00:00Z,7.74
2022-07-16T16:00:00Z,6.3
2022-07-16T17:00:00Z,2.74
2022-07-16T18:00:00Z,1.02
2022-07-16T19:00:00Z,0.49
2022-07-16T20:00:00Z,0.1
2022-07-16T21:00:00Z,0
2022-07-17T05:00:00Z,0.08
2022-07-17T06:00:00Z,0.59
2022-07-17T07:00:00Z,1.55
2022-07-17T08:00:00Z,3.68
2022-07-17T09:00:00Z,6.87
2022-07-17T10:00:00Z,8.5
2022-07-17T11:00:00Z,9.85
2022-07-17T12:00:00Z,10.38
2022-07-17T13:00:00Z,10.35
2022-07-17T14:00:00Z,9.59
2022-07-17T15:00:00Z,8.28
2022-07-17T16:00:00Z,6.41
2022-07-17T17:00:00Z,2.89
2022-07-17T18:00:00Z,1.09
2022-07-17T19:00:00Z,0.48
2022-07-17T20:00:00Z,0.09
2022-07-17T21:00:00Z,0
2022-07-18T05:00:00Z,0.04
2022-07-18T06:00:00Z,0.42
2022-07-18T07:00:00Z,1.3
2022-07-18T08:00:00Z,2.57
2022-07-18T09:00:00Z,3.65
2022-07-18T10:00:00Z,7.29
2022-07-18T11:00:00Z,10.05
2022-07-18T12:00:00Z,10.5
2022-07-18T13:00:00Z,9.22
2022-07-18T14:00:00Z,6
2022-07-18T15:00:00Z,7.58
2022-07-18T16:00:00Z,5.92
2022-07-18T17:00:00Z,3.29
2022-07-18T18:00:00Z,0.92
2022-07-18T19:00:00Z,0.34
2022-07-18T20:00:00Z,0.12
2022-07-18T21:00:00Z,0
2022-07-19T05:00:00Z,0.06
2022-07-19T06:00:00Z,0.4
2022-07-19T07:00:00Z,2.1
2022-07-19T08:00:00Z,4.72
2022-07-19T09:00:00Z,7.03
2022-07-19T10:00:00Z,8.78
2022-07-19T11:00:00Z,10.04
2022-07-19T12:00:00Z,10.58
2022-07-19T13:00:00Z,10.58
2022-07-19T14:00:00Z,9.85
2022-07-19T15:00:00Z,8.51
2022-07-19T16:00:00Z,6.13
2022-07-19T17:00:00Z,2.79
2022-07-19T18:00:00Z,0.89
2022-07-19T19:00:00Z,0.32
2022-07-19T20:00:00Z,0.11
2022-07-19T21:00:00Z,0.0002
2022-07-20T05:00:00Z,0.06
2022-07-20T06:00:00Z,0.41
2022-07-20T07:00:00Z,2.06
2022-07-20T08:00:00Z,4.61
2022-07-20T09:00:00Z,6.84
2022-07-20T10:00:00Z,8.5
2022-07-20T11:00:00Z,9.72
2022-07-20T12:00:00Z,10.29
2022-07-20T13:00:00Z,10.25
2022-07-20T14:00:00Z,9.5
2022-07-20T15:00:00Z,8.23
2022-07-20T16:00:00Z,5.83
2022-07-20T17:00:00Z,2.68
2022-07-20T18:00:00Z,0.88
2022-07-20T19:00:00Z,0.33
2022-07-20T20:00:00Z,0.11
2022-07-20T21:00:00Z,0
2022-07-21T05:00:00Z,0.05
2022-07-21T06:00:00Z,0.4
2022-07-21T07:00:00Z,2.08
2022-07-21T08:00:00Z,4.67
2022-07-21T09:00:00Z,6.75
2022-07-21T10:00:00Z,8.61
2022-07-21T11:00:00Z,4.54
2022-07-21T12:00:00Z,8.83
2022-07-21T13:00:00Z,8.24
2022-07-21T14:00:00Z,8.16
2022-07-21T15:00:00Z,7.07
2022-07-21T16:00:00Z,6.25
2022-07-21T17:00:00Z,2.88
2022-07-21T18:00:00Z,0.63
2022-07-21T19:00:00Z,0.33
2022-07-21T20:00:00Z,0.1
2022-07-21T21:00:00Z,0
