date,kWh
2022-09-16T06:00:00Z,0.04
2022-09-16T07:00:00Z,0.99
2022-09-16T08:00:00Z,1.15
2022-09-16T09:00:00Z,1.41
2022-09-16T10:00:00Z,1.96
2022-09-16T11:00:00Z,3.74
2022-09-16T12:00:00Z,3.51
2022-09-16T13:00:00Z,0.75
2022-09-16T14:00:00Z,8.3
2022-09-16T15:00:00Z,4.19
2022-09-16T16:00:00Z,1.79
2022-09-16T17:00:00Z,1.33
2022-09-16T18:00:00Z,0.47
2022-09-16T19:00:00Z,0.002
2022-09-17T06:00:00Z,0.01
2022-09-17T07:00:00Z,0.67
2022-09-17T08:00:00Z,1.64
2022-09-17T09:00:00Z,3.69
2022-09-17T10:00:00Z,5.78
2022-09-17T11:00:00Z,6.93
2022-09-17T12:00:00Z,8.89
2022-09-17T13:00:00Z,9.19
2022-09-17T14:00:00Z,7.61
2022-09-17T15:00:00Z,5.92
2022-09-17T16:00:00Z,2.42
2022-09-17T17:00:00Z,1.47
2022-09-17T18:00:00Z,0.35
2022-09-17T19:00:00Z,0.001
2022-09-18T06:00:00Z,0.008
2022-09-18T07:00:00Z,0.48
2022-09-18T08:00:00Z,2.54
2022-09-18T09:00:00Z,2.1
2022-09-18T10:00:00Z,2.27
2022-09-18T11:00:00Z,7.29
2022-09-18T12:00:00Z,3.86
2022-09-18T13:00:00Z,4.74
2022-09-18T14:00:00Z,4.96
2022-09-18T15:00:00Z,5.17
2022-09-18T16:00:00Z,2.01
2022-09-18T17:00:00Z,1.17
2022-09-18T18:00:00Z,0.28
2022-09-18T19:00:00Z,0.005
2022-09-19T06:00:00Z,0.009
2022-09-19T07:00:00Z,0.49
2022-09-19T08:00:00Z,1.87
2022-09-19T09:00:00Z,1.82
2022-09-19T10:00:00Z,2.94
2022-09-19T11:00:00Z,2.64
2022-09-19T12:00:00Z,6.89
2022-09-19T13:00:00Z,7.85
2022-09-19T14:00:00Z,8.48
2022-09-19T15:00:00Z,6.49
2022-09-19T16:00:00Z,2.1
2022-09-19T17:00:00Z,1.52
2022-09-19T18:00:00Z,0.28
2022-09-19T19:00:00Z,0.001
2022-09-20T06:00:00Z,0.008
2022-09-20T07:00:00Z,0.86
2022-09-20T08:00:00Z,3.27
2022-09-20T09:00:00Z,5.91
2022-09-20T10:00:00Z,7.91
2022-09-20T11:00:00Z,9.24
2022-09-20T12:00:00Z,9.8
2022-09-20T13:00:00Z,9.58
2022-09-20T14:00:00Z,8.62
2022-09-20T15:00:00Z,5.97
2022-09-20T16:00:00Z,1.79
2022-09-20T17:00:00Z,1.06
2022-09-20T18:00:00Z,0.19
2022-09-20T19:00:00Z,0.001
2022-09-21T06:00:00Z,0.008
2022-09-21T07:00:00Z,0.82
2022-09-21T08:00:00Z,3.22
2022-09-21T09:00:00Z,5.92
2022-09-21T10:00:00Z,7.91
2022-09-21T11:00:00Z,9.29
2022-09-21T12:00:00Z,9.83
2022-09-21T13:00:00Z,9.6
2022-09-21T14:00:00Z,8.59
2022-09-21T15:00:00Z,5.82
2022-09-21T16:00:00Z,1.75
2022-09-21T17:00:00Z,1
2022-09-21T18:00:00Z,0.19
2022-09-21T19:00:00Z,0.0009
2022-09-22T06:00:00Z,0.004
2022-09-22T07:00:00Z,0.32
2022-09-22T08:00:00Z,1.41
2022-09-22T09:00:00Z,2.03
2022-09-22T10:00:00Z,5.43
2022-09-22T11:00:00Z,5.29
2022-09-22T12:00:00Z,8.41
2022-09-22T13:00:00Z,10.04
2022-09-22T14:00:00Z,8.66
2022-09-22T15:00:00Z,5.7
2022-09-22T16:00:00Z,1.71
2022-09-22T17:00:00Z,0.96
2022-09-22T18:00:00Z,0.17
2022-09-22T19:00:00Z,0
